"teryt";"rok";"l_mieszk"
182103;2010;11651
182104;2010;5045
182105;2010;5301
186101;2010;47516
186201;2010;65096
186301;2010;179199
186401;2010;48886
200101;2010;30809
200102;2010;6873
200103;2010;5818
200104;2010;5624
200105;2010;2954
200106;2010;2578
200107;2010;5442
200201;2010;13979
200202;2010;11891
200203;2010;8475
200204;2010;5716
200205;2010;14504
200206;2010;22804
200207;2010;7255
200208;2010;3722
200209;2010;13688
200210;2010;2074
200211;2010;5704
200212;2010;6497
200213;2010;14277
200214;2010;9036
200215;2010;2955
200301;2010;26728
200302;2010;3903
200303;2010;7205
200304;2010;4815
200305;2010;6326
200306;2010;3130
200307;2010;2052
200308;2010;4812
