kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
6040615000;04;toruński;1750,13;2100,86;2641,14;3107,90
6040661000;04;m. Bydgoszcz;2162,47;2690,84;3363,68;3850,09
6040663000;04;m. Toruń;2151,47;2753,44;3414,28;3991,61
6040702000;04;brodnicki;1773,08;2198,64;2714,96;3165,06
6040704000;04;chełmiński;1950,95;2108,73;2772,46;3299,94
6040705000;04;golubsko-dobrzyński;1728,81;2164,60;2864,08;3492,49
6040706000;04;grudziądzki;1699,67;2126,35;2840,81;3403,47
6040712000;04;rypiński;1753,19;2144,46;2743,36;3134,03
6040717000;04;wąbrzeski;1809,06;2193,29;2859,74;3336,63
6040762000;04;m. Grudziądz;1842,79;2210,11;2754,99;3212,29
6040801000;04;aleksandrowski;1718,03;2048,15;2624,54;3099,06
6040808000;04;lipnowski;1710,96;2074,42;2668,15;2859,77
6040811000;04;radziejowski;1774,56;2146,56;2687,99;3095,39
6040818000;04;włocławski;1616,40;2010,89;2644,28;3137,40
6040864000;04;m. Włocławek;2090,24;2531,51;3132,44;3631,31
6046707000;04;inowrocławski;1913,68;2251,00;2889,59;3257,22
6046709000;04;mogileński;1727,76;2167,70;2785,00;3317,85
6046710000;04;nakielski;1784,94;2145,00;2868,29;3182,69
6046719000;04;żniński;1703,08;2062,85;2645,24;3042,27
6046813000;04;sępoleński;1606,38;2047,91;2820,74;3232,37
6046814000;04;świecki;2191,37;2465,01;3031,32;3516,40
6046816000;04;tucholski;1693,92;2051,01;2694,54;3067,37
6224004000;22;gdański;1966,31;2612,77;3182,04;3806,02
6224005000;22;kartuski;1860,29;2295,23;2887,04;3275,79
6224010000;22;nowodworski;1845,08;2238,76;2972,49;3422,12
6224011000;22;pucki;1905,49;2403,82;3002,77;3584,09
6224015000;22;wejherowski;1963,40;2492,52;3029,92;3441,57
6224101000;22;bytowski;1804,97;2277,73;2947,50;3447,30
6224108000;22;lęborski;1868,40;2390,56;2947,96;3554,76
6224112000;22;słupski;1756,63;2208,96;2911,32;3497,25
6224163000;22;m. Słupsk;2026,79;2399,33;3083,98;3478,22
6224207000;22;kwidzyński;2458,31;2611,08;3243,13;3771,88
6224209000;22;malborski;1947,67;2318,06;2963,76;3408,03
6224213000;22;starogardzki;2153,38;2595,63;3058,97;3560,38
6224214000;22;tczewski;2055,31;2593,90;3286,26;3821,28
6224216000;22;sztumski;1760,62;2222,23;2749,43;3455,74
6224361000;22;m. Gdańsk;2611,00;3473,08;4327,35;4992,14
6224362000;22;m. Gdynia;2418,93;3198,33;3938,74;4566,82
6224364000;22;m. Sopot;2593,94;3286,43;3985,66;4836,93
6227202000;22;chojnicki;1734,98;2124,02;2689,90;3133,05
6227203000;22;człuchowski;1820,32;2274,37;2902,91;3384,44
6227206000;22;kościerski;1842,89;2158,48;2721,25;3117,95
6285402000;28;braniewski;1840,77;2243,42;2892,95;3241,42
6285403000;28;działdowski;1737,11;2188,50;2634,39;3180,05
6285404000;28;elbląski;1768,57;2085,09;2781,25;3199,49
6285407000;28;iławski;1708,06;2077,76;2639,03;3172,70
6285412000;28;nowomiejski;1685,20;1962,49;2599,04;2878,10
6285415000;28;ostródzki;1802,50;2151,13;2759,64;3175,96
6285461000;28;m. Elbląg;2339,45;2429,10;3168,80;3687,80
6285505000;28;ełcki;1835,02;2205,27;2835,70;3184,73
6285506000;28;giżycki;1780,63;2205,10;2793,21;3369,69
6285513000;28;olecki;1832,13;2275,16;2812,94;3357,05
6285516000;28;piski;2034,15;2394,68;2923,37;3445,13
6285518000;28;gołdapski;1665,23;1871,03;2629,46;3045,01
6285519000;28;węgorzewski;1679,89;2070,27;2664,54;3088,51
6285601000;28;bartoszycki;1803,55;2138,45;2866,40;3314,71
6285608000;28;kętrzyński;1824,80;2030,68;2719,97;3165,43
6285609000;28;lidzbarski;1595,49;2008,19;2804,79;3248,95
6285610000;28;mrągowski;1709,89;2244,49;2708,77;3077,81
6285611000;28;nidzicki;1634,21;2078,26;2683,94;3079,14
6285614000;28;olsztyński;1801,78;2310,29;3105,47;3559,63
6285617000;28;szczycieński;1857,81;2240,32;3045,34;3482,48
6285662000;28;m. Olsztyn;2356,41;2931,15;3546,91;4104,05
